Observation,CurveID,Site Name,canopy/ground,Species,Family,Order,Clade,Growth form,LimitState,Amax,Vcmax25,Jmax25,tpu25,numrubisco,numrubp,numtpu,LMA,Nmass,Cmass,Pmass,wood density,density source
128,no128-13jan30dorothy3.csv,SLZ,canopy,Aspidosperma megalocarpon,Apocynaceae,Gentianales,asterids,tree,RubiscoTpu,7.9,16.97,,2.48,11,0,3,143.59,17.7,490.5,0.61,0.777,Chave et al. 
129,no129-13jan30agnes2.csv,SLZ,canopy,Aspidosperma megalocarpon,Apocynaceae,Gentianales,asterids,tree,,,,,,,,,155.18,16.8,489.4,0.54,0.777,Chave et al. 
130,no130-13jan30dorothy1.csv,SLZ,canopy,Tapirira guianensis,Anacardiaceae,Sapindales,rosids,tree,RubiscoRuBp,12.2,21.7,46.2,3.69,11,3,0,107.87,14.7,472,0.72,0.494,Wright et al.
131,no131-13jan30dorothy.csv,SLZ,canopy,Brosimum utile,Moraceae,Rosales,rosids,tree,RubiscoRuBpTpu,15.15,47.28,74.51,4.72,8,1,5,101.72,15.6,470.1,1.15,0.509,Wright et al.
132,no132-13jan30agnes.csv,SLZ,canopy,Apeiba membranacea,Malvaceae,Malvales,rosids,tree,RubiscoRuBpTpu,16.25,40.41,70.58,4.79,10,3,3,117.1,16.7,487.7,0.9,0.321,Wright et al.
133,"APME-01,Cecilia,",SLZ,canopy,Apeiba membranacea,Malvaceae,Malvales,rosids,tree,,,,,,,,,115.2,17.2,479.7,0.88,0.278,
134,no134-13jan30agnes4.csv,SLZ,canopy,Sapium glandulosum,Euphorbiaceae,Malpighiales,rosids,tree,RubiscoRuBpTpu,23.77,60.44,102.52,6.68,10,2,3,141.22,21.1,443.6,1.41,0.502,Wright et al.
135,"TAGU-03,cecilia, crane",SLZ,canopy,Tapirira guianensis,Anacardiaceae,Sapindales,rosids,tree,,,,,,,,,52.52,26.93,457.1,2.78,0.457,Chave et al. 
136,"(4)Brosimum utile, ft.sherman crane,dorothy, leaf defolded",SLZ,canopy,Brosimum utile,Moraceae,Rosales,rosids,tree,,,,,,,,,132.71,13.8,479.1,0.71,0.506,
137,no137-13jan30agnes1_1of2.csv,SLZ,canopy,Tapirira guianensis,Anacardiaceae,Sapindales,rosids,tree,RubiscoRuBp,10.95,21.54,43.64,3.38,12,4,0,105.03,14.6,476,0.68,0.494,Wright et al.
138,no138-13jan30dorothy2.csv,SLZ,canopy,Terminalia amazonia,Combretaceae,Myrtales,rosids,tree,,,,,,,,,55.35,21.4,456.8,1.87,0.665,Wright et al.
