Species,GrowthForm,kl,ksat,Al.As,ax,p50,p12,p88,Pmd,Ppd,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Method,Maximal Vessel Length (m),Note,Id
senna undulata,Liana,0.00062287,3.2216196,0.517221496,90.87326029,-0.856556113,-0.333377904,-2.159326901,NA,NA,0.45916,25.691058,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.6372,,22
stizophyllum riparium,Liana,0.002585751,16.90368,0.653724199,60.61058616,-0.75312624,-0.207235009,-1.791958331,NA,NA,0.33184,17.7,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.54924,,
terminalia amazonia,Tree,0.000240593,0.6830346,0.283896762,12.87741815,-3.403316231,-1.056925153,-8.403271368,NA,NA,0.56028,22.059242,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.499065,,
tetracera portobellensis,Liana,0.001858433,14.6900092,0.79045129,30.48864345,-2.29477915,-0.886091192,-5.666007569,NA,NA,0.24256,21.619996,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.0183333,,23
vismia billbergiana,Tree,0.001093299,2.3815075,0.217827588,20.84928618,-2.631534516,-0.938012677,-6.573735959,NA,NA,0.3847167,22.878338,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.2295,,
vitis tiliifolia,Liana,0.00186641,12.48832,0.669109289,46.87688608,-1.900318029,-0.723597128,-4.592023015,NA,NA,0.32576,23.4668,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.37216,,
xylopia macrantha,Tree,0.000460579,1.318958,0.286369797,15.08845143,-2.65370924,-0.748295351,-8.167201075,NA,NA,0.41306,23.18995,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.3284,,
zanthoxylum panamense,Tree,0.000741532,6.8690662,0.926333927,21.27978929,-2.589694304,-0.872962585,-6.262244696,NA,NA,0.4267,23.388837,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.983,,
zuelania guidonia,Tree,0.000475035,5.26524,1.108388975,19.96156217,-3.53941893,-1.473309408,-7.000383586,NA,NA,0.55888,14.590266,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.41244,,
annona spraguei,Tree,0.001241857,7.3408,0.591114663,29.04526549,-2.377684574,-0.82547291,-4.218271663,NA,NA,0.35238,14.225738,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.9888,,
arrabidaea verrucosa,Liana,0.002932888,20.328,0.693105321,84.41295359,-0.565483182,-0.219178216,-1.467108522,NA,NA,0.43558,15.66525,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.89408,,
bauhinia reflexa,Liana,0.00172839,11.80356,0.682922099,26.53955565,-2.272589017,-0.995476635,-5.252560641,NA,NA,0.56488,14.997436,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.77844,,
brosimum utile,Tree,0.001275674,9.11352,0.714408003,22.86722251,-2.065974143,-0.602281603,-4.735436932,NA,NA,0.53688,10.02136,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.66816,,
cecropia obtusifolia,Tree,0.001545671,9.70104,0.62762653,68.20993693,-0.697993285,-0.22344686,-2.178341199,NA,NA,0.28148,20.685776,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,1.1433,,
coccoloba parimensis,Liana,0.001659997,11.05412,0.665912127,34.21282116,-1.278053705,-0.36661309,-3.615769148,NA,NA,0.5566,14.096034,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.94752,,
davilla nitida,Liana,0.002002968,13.11228,0.654642511,49.6765256,-1.164289965,-0.492595454,-2.930255556,NA,NA,0.52544,12.008316,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,1.0626,,
doliocarpus multiflorus,Liana,0.001975618,9.65,0.488454851,34.502155,-1.885731875,-0.707960187,-4.213814181,NA,NA,0.57506,6.18227,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.72816,,
machaerium floribundum,Liana,0.002230157,13.27,0.595025426,75.38022544,-1.500001539,-0.60240743,-2.519767154,NA,NA,0.37182,14.609774,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,1.17612,,
maripa panamensis,Liana,0.003849437,33.41394,0.868021525,49.04766538,-1.439097162,-0.475991128,-3.078145479,NA,NA,0.4315,11.047998,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.91264,,
mendoncia litoralis,Liana,0.003867988,32.45,0.83893754,75.82620795,-1.254980057,-0.510503427,-2.140925512,NA,NA,0.29884,19.80476,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,1.33848,,
myriocarpa longipes,Tree,0.001724209,11.9952,0.695693004,76.89441033,-0.73995332,-0.360513743,-1.47087142,NA,NA,0.26522,18.1148,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.85888,,
paullinia fibrigera,Liana,0.000946933,7.2828,0.769093159,45.14614488,-1.124682832,-0.38229564,-2.75400926,NA,NA,0.5038,14.243156,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.3451,,
phryganocydia corymbosa,Liana,0.002224635,9.9008,0.445052744,87.12830293,-0.818027061,-0.323827046,-2.177011384,NA,NA,0.50282,8.804576,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.59472,,
piper reticulatum,Tree,0.001710931,8.0422,0.470048124,60.90441931,-0.752099638,-0.223794402,-2.209139861,NA,NA,0.34366,13.902812,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.7488,,
pourouma bicolor,Tree,0.001437636,6.831,0.47515498,34.6898397,-1.240017663,-0.338643123,-3.346093334,NA,NA,0.3469,15.83768,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.6767,,
protium panamense,Tree,0.001689882,8.72496,0.516305994,28.16725218,-1.512397772,-0.380623892,-3.837309796,NA,NA,0.50214,11.547208,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.39292,,
simarouba amara,Tree,0.001624577,6.44182,0.396522959,43.32960464,-0.947587384,-0.22735723,-2.472235839,NA,NA,0.38282,16.1094,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.71994,,
tachigali versicolor,Tree,0.00076449,1.79872,0.235283653,27.72041825,-2.98247997,-1.314584727,-5.504105397,NA,NA,0.58934,10.957978,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.31808,,
tapirira guianensis,Tree,0.001003693,3.3879,0.337543519,25.57114338,-2.855256864,-1.201913337,-6.661594041,NA,NA,0.55584,11.745478,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.43596,,
tontelea ovalifolia,Liana,0.002671877,16.91616,0.633119012,25.75054872,-2.197499672,-0.753836434,-5.731183026,NA,NA,0.42066,12.9952,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.51624,,
virola sebifera,Tree,0.000981601,5.22424,0.532216138,27.73510435,-1.99214399,-0.620229646,-5.38012669,NA,NA,0.4869,10.12885,3203,25.3,Van der Sande et al. 2019,Tropical rainforest,-79.97451944,9.28111111,Pressure sleeve,0.22632,,
